时间,报警类型,级别,数值,阈值,消息
2026-05-27 19:12:16,high_noise,critical,298.91,160.0,"噪声级超标: 298.9 dB > 160.0 dB"
2026-05-27 19:12:16,cavitation_detected,warning,0.70,0.5,"检测到空化现象: 轻微, 置信度: 69.68%"
2026-05-27 19:12:27,high_noise,critical,299.95,160.0,"噪声级超标: 299.9 dB > 160.0 dB"
2026-05-27 19:12:27,cavitation_detected,warning,0.70,0.5,"检测到空化现象: 轻微, 置信度: 69.74%"
2026-05-27 19:12:37,high_noise,critical,297.64,160.0,"噪声级超标: 297.6 dB > 160.0 dB"
2026-05-27 19:12:37,cavitation_detected,warning,0.69,0.5,"检测到空化现象: 轻微, 置信度: 69.36%"
2026-05-27 19:12:47,high_noise,critical,298.85,160.0,"噪声级超标: 298.9 dB > 160.0 dB"
2026-05-27 19:12:47,cavitation_detected,warning,0.69,0.5,"检测到空化现象: 轻微, 置信度: 69.42%"
2026-05-27 19:12:57,high_noise,critical,297.75,160.0,"噪声级超标: 297.7 dB > 160.0 dB"
2026-05-27 19:12:57,cavitation_detected,warning,0.69,0.5,"检测到空化现象: 轻微, 置信度: 69.34%"
2026-05-27 19:13:08,high_noise,critical,298.80,160.0,"噪声级超标: 298.8 dB > 160.0 dB"
2026-05-27 19:13:08,cavitation_detected,warning,0.70,0.5,"检测到空化现象: 轻微, 置信度: 69.67%"
2026-05-27 19:13:18,high_noise,critical,298.04,160.0,"噪声级超标: 298.0 dB > 160.0 dB"
2026-05-27 19:13:18,cavitation_detected,warning,0.70,0.5,"检测到空化现象: 轻微, 置信度: 69.86%"
2026-05-27 19:13:28,high_noise,critical,298.69,160.0,"噪声级超标: 298.7 dB > 160.0 dB"
2026-05-27 19:13:28,cavitation_detected,warning,0.70,0.5,"检测到空化现象: 轻微, 置信度: 69.51%"
2026-05-27 19:13:39,high_noise,critical,298.36,160.0,"噪声级超标: 298.4 dB > 160.0 dB"
2026-05-27 19:13:39,cavitation_detected,warning,0.69,0.5,"检测到空化现象: 轻微, 置信度: 69.40%"
